"","symbol","company","identifier","sedol","weight","sector","shares_held","local_currency","date","open","high","low","close","volume","adjusted"
"65","VZ","Verizon Communications Inc.","92343V10","2090571",0.00712424589399313,"Communication Services",41981796,"USD",2021-02-23,56.810001,57.529999,56.290001,57.029999,21062000,57.029999
"66","VZ","Verizon Communications Inc.","92343V10","2090571",0.00712424589399313,"Communication Services",41981796,"USD",2021-02-24,57.080002,57.419998,56.669998,57.119999,17136900,57.119999
"67","NFLX","Netflix Inc.","64110L10","2857817",0.00709653594885882,"Communication Services",4482105,"USD",2021-02-22,534.98999,541.789978,530.789978,533.780029,3078600,533.780029
"68","NFLX","Netflix Inc.","64110L10","2857817",0.00709653594885882,"Communication Services",4482105,"USD",2021-02-23,525,548.539978,518.280029,546.150024,4136500,546.150024
"69","NFLX","Netflix Inc.","64110L10","2857817",0.00709653594885882,"Communication Services",4482105,"USD",2021-02-24,539.799988,556.849976,539.070007,553.409973,3245000,553.409973
"70","ADBE","Adobe Inc.","00724F10","2008154",0.00661705689822734,"Information Technology",4866803,"USD",2021-02-22,470.480011,472.100006,466.660004,467.329987,2510500,467.329987
"71","ADBE","Adobe Inc.","00724F10","2008154",0.00661705689822734,"Information Technology",4866803,"USD",2021-02-23,461.019989,471.440002,450.119995,467.799988,4164300,467.799988
"72","ADBE","Adobe Inc.","00724F10","2008154",0.00661705689822734,"Information Technology",4866803,"USD",2021-02-24,463.48999,477.350006,460.290009,476.619995,3390600,476.619995
"73","T","AT&T Inc.","00206R10","2831811",0.00647443718061438,"Communication Services",72294770,"USD",2021-02-22,28.99,29.57,28.98,29.32,34873900,29.32
"74","T","AT&T Inc.","00206R10","2831811",0.00647443718061438,"Communication Services",72294770,"USD",2021-02-23,29.65,29.809999,29.110001,29.18,46960200,29.18
"75","T","AT&T Inc.","00206R10","2831811",0.00647443718061438,"Communication Services",72294770,"USD",2021-02-24,29.299999,29.59,29.200001,29.379999,34631900,29.379999
"76","ABT","Abbott Laboratories","00282410","2002305",0.00645960720997772,"Health Care",17980996,"USD",2021-02-22,122.949997,122.949997,120.529999,122.550003,4842000,122.550003
"77","ABT","Abbott Laboratories","00282410","2002305",0.00645960720997772,"Health Care",17980996,"USD",2021-02-23,122.25,123.18,120.209999,120.800003,5565900,120.800003
"78","ABT","Abbott Laboratories","00282410","2002305",0.00645960720997772,"Health Care",17980996,"USD",2021-02-24,120.800003,122.910004,120.660004,122.379997,4127400,122.379997
"79","CVX","Chevron Corporation","16676410","2838555",0.00631999748640498,"Energy",19530050,"USD",2021-02-22,96.989998,99.639999,96.459999,98.389999,13178700,98.389999
"80","CVX","Chevron Corporation","16676410","2838555",0.00631999748640498,"Energy",19530050,"USD",2021-02-23,99.970001,100.160004,96.800003,99.629997,14874000,99.629997
"81","CVX","Chevron Corporation","16676410","2838555",0.00631999748640498,"Energy",19530050,"USD",2021-02-24,100.330002,104.040001,99.809998,103.309998,16116000,103.309998
"82","KO","Coca-Cola Company","19121610","2206657",0.00606817798500759,"Consumer Staples",39238516,"USD",2021-02-22,49.849998,50.880001,49.669998,50.630001,14370900,50.630001
"83","KO","Coca-Cola Company","19121610","2206657",0.00606817798500759,"Consumer Staples",39238516,"USD",2021-02-23,51,51.509998,50.419998,50.540001,16222300,50.540001
"84","KO","Coca-Cola Company","19121610","2206657",0.00606817798500759,"Consumer Staples",39238516,"USD",2021-02-24,50.389999,50.900002,50.130001,50.709999,14442000,50.709999
